DATE,CPIAUCSL
1947-02-01,7.79585
1947-03-01,20.90837
1947-04-01,0.00000
1947-05-01,-2.73038
1947-06-01,7.08610
1947-07-01,8.12461
1947-08-01,9.14188
1947-09-01,23.34291
1947-10-01,3.67213
1947-11-01,7.83122
1947-12-01,18.07652
1948-01-01,13.76103
1948-02-01,-0.50686
1948-03-01,-8.64960
1948-04-01,16.23017
1948-05-01,9.53382
1948-06-01,6.97676
1948-07-01,12.35850
1948-08-01,1.47450
1948-09-01,-3.44333
1948-10-01,-2.46559
1948-11-01,-7.42730
1948-12-01,-5.47605
1949-01-01,-1.99750
1949-02-01,-5.00835
1949-03-01,0.00000
1949-04-01,0.50178
1949-05-01,-0.50178
1949-06-01,0.50178
1949-07-01,-11.08786
1949-08-01,0.00000
1949-09-01,2.52898
1949-10-01,-4.04893
1949-11-01,1.51995
1949-12-01,-4.56564
1950-01-01,-5.09339
1950-02-01,5.09339
1950-03-01,1.52381
1950-04-01,0.50751
1950-05-01,6.07340
1950-06-01,5.54041
1950-07-01,9.50996
1950-08-01,6.46366
1950-09-01,6.92215
1950-10-01,7.86244
1950-11-01,4.88799
1950-12-01,18.39487
1951-01-01,19.06315
1951-02-01,21.09017
1951-03-01,2.32064
1951-04-01,1.85328
1951-05-01,3.23637
1951-06-01,-2.77350
1951-07-01,-0.92593
1951-08-01,-2.31795
1951-09-01,7.86281
1951-10-01,5.97817
1951-11-01,7.31710
1951-12-01,6.81949
1952-01-01,-0.90703
1952-02-01,-1.81612
1952-03-01,-0.90909
1952-04-01,3.17881
1952-05-01,0.45343
1952-06-01,2.71698
1952-07-01,6.76566
1952-08-01,0.44969
1952-09-01,-2.70068
1952-10-01,2.70068
1952-11-01,0.00000
1952-12-01,0.89888
1953-01-01,-3.14902
1953-02-01,-2.25437
1953-03-01,1.80383
1953-04-01,2.70068
1953-05-01,0.44952
1953-06-01,3.14195
1953-07-01,0.89619
1953-08-01,2.68456
1953-09-01,1.78638
1953-10-01,2.67459
1953-11-01,-4.46097
1953-12-01,0.89352
1954-01-01,3.12210
1954-02-01,2.22511
1954-03-01,-2.67062
1954-04-01,-3.12326
1954-05-01,3.12326
1954-06-01,0.44552
1954-07-01,-3.56878
1954-08-01,-0.44684
1954-09-01,-1.78904
1954-10-01,-4.03512
1954-11-01,2.69159
1954-12-01,-0.44818
1955-01-01,0.00000
1955-02-01,2.23922
1955-03-01,-1.34303
1955-04-01,0.00000
1955-05-01,-0.89619
1955-06-01,-2.69260
1955-07-01,2.24425
1955-08-01,-1.79506
1955-09-01,5.82417
1955-10-01,-1.34153
1955-11-01,2.68157
1955-12-01,-0.44651
