"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT_FOODENRG","IDX2010","M","1993-12",69.53214,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-01",69.71286,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-02",70.02912,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-03",70.39056,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-04",70.43574,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-05",70.48092,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-06",70.57128,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-07",70.66164,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-08",70.93272,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-09",71.15862,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-10",71.38452,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-11",71.47488,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1994-12",71.33934,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-01",71.70078,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-02",72.1074,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-03",72.46884,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-04",72.60439,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-05",72.64957,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-06",72.69474,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-07",72.7851,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-08",73.011,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-09",73.2369,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-10",73.55316,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-11",73.64352,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1995-12",73.50799,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-01",73.82424,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-02",74.18568,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-03",74.50195,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-04",74.54713,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-05",74.59231,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-06",74.63749,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-07",74.77303,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-08",74.90857,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-09",75.17965,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-10",75.45073,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-11",75.54108,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1996-12",75.45073,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-01",75.67663,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-02",76.03807,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-03",76.35433,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-04",76.53505,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-05",76.48987,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-06",76.44469,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-07",76.58023,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-08",76.62541,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-09",76.80613,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-10",77.16757,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-11",77.16757,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1997-12",77.12239,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-01",77.34829,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-02",77.75491,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-03",77.98081,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-04",78.16153,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-05",78.20671,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-06",78.16153,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-07",78.29707,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-08",78.52297,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-09",78.70369,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-10",78.9296,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-11",78.97478,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1998-12",78.97478,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-01",79.20068,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-02",79.38139,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-03",79.60729,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-04",79.87837,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-05",79.78802,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-06",79.78802,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-07",79.92355,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-08",80.01392,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1999-09",80.285,
