"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-01",12.87632,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-02",12.87632,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-03",12.96668,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-04",13.01186,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-05",13.01186,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-06",13.05704,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-07",13.05704,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-08",13.10222,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-09",13.1474,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-10",13.19258,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-11",13.28294,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1957-12",13.28294,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-01",13.28294,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-02",13.28294,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-03",13.32812,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-04",13.32812,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-05",13.32812,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-06",13.32812,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-07",13.3733,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-08",13.3733,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-09",13.3733,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-10",13.41848,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-11",13.50884,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1958-12",13.50884,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-01",13.50884,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-02",13.50884,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-03",13.55402,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-04",13.55402,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-05",13.5992,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-06",13.5992,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-07",13.64438,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-08",13.64438,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-09",13.68956,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-10",13.77992,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-11",13.77992,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1959-12",13.77992,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-01",13.77992,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-02",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-03",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-04",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-05",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-06",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-07",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-08",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-09",13.8251,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-10",13.91546,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-11",13.91546,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1960-12",13.91546,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-01",13.91546,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-02",13.91546,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-03",13.91546,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-04",13.96064,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-05",13.96064,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-06",13.96064,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-07",14.00582,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-08",14.00582,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-09",14.051,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-10",14.09618,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-11",14.09618,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1961-12",14.09618,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-01",14.09618,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-02",14.09618,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-03",14.14136,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-04",14.14136,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-05",14.18654,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-06",14.18654,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-07",14.18654,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-08",14.18654,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-09",14.23172,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-10",14.2769,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-11",14.2769,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1962-12",14.2769,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-01",14.23172,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-02",14.23172,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-03",14.2769,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-04",14.32208,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-05",14.32208,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-06",14.36726,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-07",14.36726,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-08",14.41244,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-09",14.41244,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-10",14.45762,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-11",14.5028,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1963-12",14.5028,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1964-01",14.5028,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1964-02",14.5028,
"USA","CPI","TOT_FOODENRG","IDX2010","M","1964-03",14.54799,
