"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","TOT","IDX2010","M","1995-12",58.43736,
"AUT","INDPROD","TOT","IDX2010","M","1996-01",57.41368,
"AUT","INDPROD","TOT","IDX2010","M","1996-02",58.42416,
"AUT","INDPROD","TOT","IDX2010","M","1996-03",57.87299,
"AUT","INDPROD","TOT","IDX2010","M","1996-04",57.78113,
"AUT","INDPROD","TOT","IDX2010","M","1996-05",58.51603,
"AUT","INDPROD","TOT","IDX2010","M","1996-06",59.0672,
"AUT","INDPROD","TOT","IDX2010","M","1996-07",59.15906,
"AUT","INDPROD","TOT","IDX2010","M","1996-08",59.34278,
"AUT","INDPROD","TOT","IDX2010","M","1996-09",60.2614,
"AUT","INDPROD","TOT","IDX2010","M","1996-10",59.43464,
"AUT","INDPROD","TOT","IDX2010","M","1996-11",60.07767,
"AUT","INDPROD","TOT","IDX2010","M","1996-12",61.08816,
"AUT","INDPROD","TOT","IDX2010","M","1997-01",62.74167,
"AUT","INDPROD","TOT","IDX2010","M","1997-02",61.91491,
"AUT","INDPROD","TOT","IDX2010","M","1997-03",61.91491,
"AUT","INDPROD","TOT","IDX2010","M","1997-04",62.83353,
"AUT","INDPROD","TOT","IDX2010","M","1997-05",60.90443,
"AUT","INDPROD","TOT","IDX2010","M","1997-06",62.37422,
"AUT","INDPROD","TOT","IDX2010","M","1997-07",62.83353,
"AUT","INDPROD","TOT","IDX2010","M","1997-08",64.48705,
"AUT","INDPROD","TOT","IDX2010","M","1997-09",63.47657,
"AUT","INDPROD","TOT","IDX2010","M","1997-10",63.84401,
"AUT","INDPROD","TOT","IDX2010","M","1997-11",64.48705,
"AUT","INDPROD","TOT","IDX2010","M","1997-12",66.32429,
"AUT","INDPROD","TOT","IDX2010","M","1998-01",67.2429,
"AUT","INDPROD","TOT","IDX2010","M","1998-02",68.25339,
"AUT","INDPROD","TOT","IDX2010","M","1998-03",68.71269,
"AUT","INDPROD","TOT","IDX2010","M","1998-04",68.16152,
"AUT","INDPROD","TOT","IDX2010","M","1998-05",68.80456,
"AUT","INDPROD","TOT","IDX2010","M","1998-06",69.35573,
"AUT","INDPROD","TOT","IDX2010","M","1998-07",69.44759,
"AUT","INDPROD","TOT","IDX2010","M","1998-08",68.80456,
"AUT","INDPROD","TOT","IDX2010","M","1998-09",70.91738,
"AUT","INDPROD","TOT","IDX2010","M","1998-10",70.64179,
"AUT","INDPROD","TOT","IDX2010","M","1998-11",69.99876,
"AUT","INDPROD","TOT","IDX2010","M","1998-12",68.71269,
"AUT","INDPROD","TOT","IDX2010","M","1999-01",69.172,
"AUT","INDPROD","TOT","IDX2010","M","1999-02",68.34525,
"AUT","INDPROD","TOT","IDX2010","M","1999-03",70.54993,
"AUT","INDPROD","TOT","IDX2010","M","1999-04",71.1011,
"AUT","INDPROD","TOT","IDX2010","M","1999-05",72.11159,
"AUT","INDPROD","TOT","IDX2010","M","1999-06",72.57089,
"AUT","INDPROD","TOT","IDX2010","M","1999-07",71.65228,
"AUT","INDPROD","TOT","IDX2010","M","1999-08",72.75462,
"AUT","INDPROD","TOT","IDX2010","M","1999-09",73.48951,
"AUT","INDPROD","TOT","IDX2010","M","1999-10",74.2244,
"AUT","INDPROD","TOT","IDX2010","M","1999-11",78.54192,
"AUT","INDPROD","TOT","IDX2010","M","1999-12",74.77558,
"AUT","INDPROD","TOT","IDX2010","M","2000-01",72.38717,
"AUT","INDPROD","TOT","IDX2010","M","2000-02",75.78606,
"AUT","INDPROD","TOT","IDX2010","M","2000-03",75.51048,
"AUT","INDPROD","TOT","IDX2010","M","2000-04",76.24537,
"AUT","INDPROD","TOT","IDX2010","M","2000-05",77.6233,
"AUT","INDPROD","TOT","IDX2010","M","2000-06",76.98026,
"AUT","INDPROD","TOT","IDX2010","M","2000-07",77.99075,
"AUT","INDPROD","TOT","IDX2010","M","2000-08",78.26633,
"AUT","INDPROD","TOT","IDX2010","M","2000-09",78.45005,
"AUT","INDPROD","TOT","IDX2010","M","2000-10",78.17447,
"AUT","INDPROD","TOT","IDX2010","M","2000-11",81.02219,
"AUT","INDPROD","TOT","IDX2010","M","2000-12",82.30825,
"AUT","INDPROD","TOT","IDX2010","M","2001-01",80.10357,
"AUT","INDPROD","TOT","IDX2010","M","2001-02",80.47102,
"AUT","INDPROD","TOT","IDX2010","M","2001-03",79.82798,
"AUT","INDPROD","TOT","IDX2010","M","2001-04",78.45005,
"AUT","INDPROD","TOT","IDX2010","M","2001-05",78.8175,
"AUT","INDPROD","TOT","IDX2010","M","2001-06",78.90936,
"AUT","INDPROD","TOT","IDX2010","M","2001-07",79.64426,
"AUT","INDPROD","TOT","IDX2010","M","2001-08",79.91985,
"AUT","INDPROD","TOT","IDX2010","M","2001-09",79.36868,
"AUT","INDPROD","TOT","IDX2010","M","2001-10",80.47102,
"AUT","INDPROD","TOT","IDX2010","M","2001-11",78.26633,
"AUT","INDPROD","TOT","IDX2010","M","2001-12",79.00123,
"AUT","INDPROD","TOT","IDX2010","M","2002-01",78.72564,
"AUT","INDPROD","TOT","IDX2010","M","2002-02",79.27681,
"AUT","INDPROD","TOT","IDX2010","M","2002-03",78.26633,
"AUT","INDPROD","TOT","IDX2010","M","2002-04",81.4815,
"AUT","INDPROD","TOT","IDX2010","M","2002-05",80.65474,
"AUT","INDPROD","TOT","IDX2010","M","2002-06",81.66522,
"AUT","INDPROD","TOT","IDX2010","M","2002-07",80.19543,
"AUT","INDPROD","TOT","IDX2010","M","2002-08",78.0826,
"AUT","INDPROD","TOT","IDX2010","M","2002-09",80.83846,
"AUT","INDPROD","TOT","IDX2010","M","2002-10",79.82798,
"AUT","INDPROD","TOT","IDX2010","M","2002-11",80.0117,
"AUT","INDPROD","TOT","IDX2010","M","2002-12",79.91985,
"AUT","INDPROD","TOT","IDX2010","M","2003-01",84.32922,
"AUT","INDPROD","TOT","IDX2010","M","2003-02",83.4106,
"AUT","INDPROD","TOT","IDX2010","M","2003-03",83.68618,
"AUT","INDPROD","TOT","IDX2010","M","2003-04",83.31873,
"AUT","INDPROD","TOT","IDX2010","M","2003-05",81.75708,
"AUT","INDPROD","TOT","IDX2010","M","2003-06",82.95129,
"AUT","INDPROD","TOT","IDX2010","M","2003-07",82.95129,
"AUT","INDPROD","TOT","IDX2010","M","2003-08",83.50246,
"AUT","INDPROD","TOT","IDX2010","M","2003-09",83.04315,
"AUT","INDPROD","TOT","IDX2010","M","2003-10",83.04315,
"AUT","INDPROD","TOT","IDX2010","M","2003-11",83.04315,
"AUT","INDPROD","TOT","IDX2010","M","2003-12",84.51294,
"AUT","INDPROD","TOT","IDX2010","M","2004-01",84.78852,
"AUT","INDPROD","TOT","IDX2010","M","2004-02",85.24783,
"AUT","INDPROD","TOT","IDX2010","M","2004-03",85.43156,
"AUT","INDPROD","TOT","IDX2010","M","2004-04",86.71762,
"AUT","INDPROD","TOT","IDX2010","M","2004-05",87.36066,
"AUT","INDPROD","TOT","IDX2010","M","2004-06",88.09555,
"AUT","INDPROD","TOT","IDX2010","M","2004-07",88.92231,
"AUT","INDPROD","TOT","IDX2010","M","2004-08",89.56535,
"AUT","INDPROD","TOT","IDX2010","M","2004-09",90.30024,
"AUT","INDPROD","TOT","IDX2010","M","2004-10",90.57582,
