"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","TOT","IDX2010","M","1955-01",11.70925,
"AUT","INDPROD","TOT","IDX2010","M","1955-02",11.72195,
"AUT","INDPROD","TOT","IDX2010","M","1955-03",11.69712,
"AUT","INDPROD","TOT","IDX2010","M","1955-04",11.98516,
"AUT","INDPROD","TOT","IDX2010","M","1955-05",11.84168,
"AUT","INDPROD","TOT","IDX2010","M","1955-06",12.09553,
"AUT","INDPROD","TOT","IDX2010","M","1955-07",12.22878,
"AUT","INDPROD","TOT","IDX2010","M","1955-08",12.29618,
"AUT","INDPROD","TOT","IDX2010","M","1955-09",12.41452,
"AUT","INDPROD","TOT","IDX2010","M","1955-10",12.38725,
"AUT","INDPROD","TOT","IDX2010","M","1955-11",12.64782,
"AUT","INDPROD","TOT","IDX2010","M","1955-12",12.95788,
"AUT","INDPROD","TOT","IDX2010","M","1956-01",12.50774,
"AUT","INDPROD","TOT","IDX2010","M","1956-02",12.63665,
"AUT","INDPROD","TOT","IDX2010","M","1956-03",12.50465,
"AUT","INDPROD","TOT","IDX2010","M","1956-04",12.56679,
"AUT","INDPROD","TOT","IDX2010","M","1956-05",12.65071,
"AUT","INDPROD","TOT","IDX2010","M","1956-06",12.65758,
"AUT","INDPROD","TOT","IDX2010","M","1956-07",12.79241,
"AUT","INDPROD","TOT","IDX2010","M","1956-08",13.10244,
"AUT","INDPROD","TOT","IDX2010","M","1956-09",13.03802,
"AUT","INDPROD","TOT","IDX2010","M","1956-10",13.02046,
"AUT","INDPROD","TOT","IDX2010","M","1956-11",13.09716,
"AUT","INDPROD","TOT","IDX2010","M","1956-12",12.93386,
"AUT","INDPROD","TOT","IDX2010","M","1957-01",13.15537,
"AUT","INDPROD","TOT","IDX2010","M","1957-02",13.07373,
"AUT","INDPROD","TOT","IDX2010","M","1957-03",13.38533,
"AUT","INDPROD","TOT","IDX2010","M","1957-04",13.32305,
"AUT","INDPROD","TOT","IDX2010","M","1957-05",13.57986,
"AUT","INDPROD","TOT","IDX2010","M","1957-06",13.50407,
"AUT","INDPROD","TOT","IDX2010","M","1957-07",13.5754,
"AUT","INDPROD","TOT","IDX2010","M","1957-08",13.65368,
"AUT","INDPROD","TOT","IDX2010","M","1957-09",13.85413,
"AUT","INDPROD","TOT","IDX2010","M","1957-10",13.65179,
"AUT","INDPROD","TOT","IDX2010","M","1957-11",13.71683,
"AUT","INDPROD","TOT","IDX2010","M","1957-12",13.72564,
"AUT","INDPROD","TOT","IDX2010","M","1958-01",13.96926,
"AUT","INDPROD","TOT","IDX2010","M","1958-02",13.96001,
"AUT","INDPROD","TOT","IDX2010","M","1958-03",13.78318,
"AUT","INDPROD","TOT","IDX2010","M","1958-04",13.72397,
"AUT","INDPROD","TOT","IDX2010","M","1958-05",13.80329,
