DATE,GDPDEF
1/1/1948,13.379
4/1/1948,13.497
7/1/1948,13.747
10/1/1948,13.789
1/1/1949,13.717
4/1/1949,13.579
7/1/1949,13.509
10/1/1949,13.518
1/1/1950,13.49
4/1/1950,13.538
7/1/1950,13.832
10/1/1950,14.09
1/1/1951,14.596
4/1/1951,14.692
7/1/1951,14.701
10/1/1951,14.869
1/1/1952,14.863
4/1/1952,14.882
7/1/1952,15.048
10/1/1952,15.091
1/1/1953,15.096
4/1/1953,15.125
7/1/1953,15.188
10/1/1953,15.219
1/1/1954,15.266
4/1/1954,15.281
7/1/1954,15.3
10/1/1954,15.343
1/1/1955,15.417
4/1/1955,15.481
7/1/1955,15.59
10/1/1955,15.743
1/1/1956,15.902
4/1/1956,15.997
7/1/1956,16.197
10/1/1956,16.264
1/1/1957,16.485
4/1/1957,16.601
7/1/1957,16.701
10/1/1957,16.711
1/1/1958,16.892
4/1/1958,16.94
7/1/1958,17.043
10/1/1958,17.123
1/1/1959,17.169
4/1/1959,17.194
7/1/1959,17.258
10/1/1959,17.326
1/1/1960,17.397
4/1/1960,17.443
7/1/1960,17.506
10/1/1960,17.56
1/1/1961,17.598
4/1/1961,17.641
7/1/1961,17.687
10/1/1961,17.745
1/1/1962,17.837
4/1/1962,17.866
7/1/1962,17.903
10/1/1962,17.938
1/1/1963,18.017
4/1/1963,18.047
7/1/1963,18.069
10/1/1963,18.216
1/1/1964,18.274
4/1/1964,18.318
7/1/1964,18.392
10/1/1964,18.476
1/1/1965,18.569
4/1/1965,18.652
7/1/1965,18.726
10/1/1965,18.853
1/1/1966,18.975
4/1/1966,19.131
7/1/1966,19.317
10/1/1966,19.481
1/1/1967,19.562
4/1/1967,19.661
7/1/1967,19.849
10/1/1967,20.067
1/1/1968,20.29
4/1/1968,20.504
7/1/1968,20.706
10/1/1968,20.999
1/1/1969,21.217
4/1/1969,21.488
7/1/1969,21.79
10/1/1969,22.071
1/1/1970,22.382
4/1/1970,22.694
7/1/1970,22.88
10/1/1970,23.182
1/1/1971,23.536
4/1/1971,23.846
7/1/1971,24.088
10/1/1971,24.288
1/1/1972,24.664
4/1/1972,24.815
7/1/1972,25.048
10/1/1972,25.366
1/1/1973,25.661
4/1/1973,26.052
7/1/1973,26.549
10/1/1973,27.077
1/1/1974,27.592
4/1/1974,28.248
7/1/1974,29.067
10/1/1974,29.923
1/1/1975,30.601
4/1/1975,31.059
7/1/1975,31.612
10/1/1975,32.139
1/1/1976,32.473
4/1/1976,32.803
7/1/1976,33.226
10/1/1976,33.815
1/1/1977,34.359
4/1/1977,34.841
7/1/1977,35.27
10/1/1977,36.036
1/1/1978,36.573
4/1/1978,37.242
7/1/1978,37.865
10/1/1978,38.661
1/1/1979,39.352
4/1/1979,40.304
7/1/1979,41.165
10/1/1979,41.986
1/1/1980,42.859
4/1/1980,43.8
7/1/1980,44.808
10/1/1980,46.046
1/1/1981,47.196
4/1/1981,48.081
7/1/1981,48.946
10/1/1981,49.863
1/1/1982,50.561
4/1/1982,51.17
7/1/1982,51.907
10/1/1982,52.483
1/1/1983,52.907
4/1/1983,53.265
7/1/1983,53.823
10/1/1983,54.219
1/1/1984,54.796
4/1/1984,55.257
7/1/1984,55.705
10/1/1984,56.079
1/1/1985,56.724
4/1/1985,57.075
7/1/1985,57.406
10/1/1985,57.738
1/1/1986,58.02
4/1/1986,58.252
7/1/1986,58.487
10/1/1986,58.813
1/1/1987,59.24
4/1/1987,59.637
7/1/1987,60.07
10/1/1987,60.567
1/1/1988,61.043
4/1/1988,61.633
7/1/1988,62.359
10/1/1988,62.859
1/1/1989,63.55
4/1/1989,64.207
7/1/1989,64.672
10/1/1989,65.122
1/1/1990,65.841
4/1/1990,66.52
7/1/1990,67.114
10/1/1990,67.622
1/1/1991,68.296
4/1/1991,68.764
7/1/1991,69.269
10/1/1991,69.643
1/1/1992,69.942
4/1/1992,70.388
7/1/1992,70.723
10/1/1992,71.201
1/1/1993,71.606
4/1/1993,72.041
7/1/1993,72.475
10/1/1993,72.853
1/1/1994,73.206
4/1/1994,73.571
7/1/1994,73.969
10/1/1994,74.376
1/1/1995,74.803
4/1/1995,75.132
7/1/1995,75.489
10/1/1995,75.861
1/1/1996,76.272
4/1/1996,76.562
7/1/1996,76.778
10/1/1996,77.168
1/1/1997,77.647
4/1/1997,77.857
7/1/1997,78.135
10/1/1997,78.395
1/1/1998,78.523
4/1/1998,78.687
7/1/1998,78.981
10/1/1998,79.228
1/1/1999,79.624
4/1/1999,79.891
7/1/1999,80.18
10/1/1999,80.547
1/1/2000,81.163
4/1/2000,81.623
7/1/2000,82.152
10/1/2000,82.593
1/1/2001,83.112
4/1/2001,83.699
7/1/2001,83.973
10/1/2001,84.227
1/1/2002,84.497
4/1/2002,84.812
7/1/2002,85.19
10/1/2002,85.651
1/1/2003,86.179
4/1/2003,86.455
7/1/2003,86.934
10/1/2003,87.346
1/1/2004,88.108
4/1/2004,88.875
7/1/2004,89.422
10/1/2004,90.049
1/1/2005,90.883
4/1/2005,91.543
7/1/2005,92.399
10/1/2005,93.1
1/1/2006,93.832
4/1/2006,94.587
7/1/2006,95.247
10/1/2006,95.58
1/1/2007,96.654
4/1/2007,97.194
7/1/2007,97.531
10/1/2007,97.956
