,DATE,GDPDEF,UNRATE,Inflation
,1/1/1948,13.379,3.7,
1,4/1/1948,13.497,3.7,3.574865163
2,7/1/1948,13.747,3.8,7.617460389
3,10/1/1948,13.789,3.8,1.227696827
4,1/1/1949,13.717,4.7,-2.072319464
5,4/1/1949,13.579,5.9,-3.963881521
6,7/1/1949,13.509,6.7,-2.046117706
7,10/1/1949,13.518,7,0.266755437
8,1/1/1950,13.49,6.4,-0.825954282
9,4/1/1950,13.538,5.6,1.430890972
10,7/1/1950,13.832,4.6,8.973746472
11,10/1/1950,14.09,4.2,7.672315175
12,1/1/1951,14.596,3.5,15.15729272
13,4/1/1951,14.692,3.1,2.656927061
14,7/1/1951,14.701,3.2,0.245256553
15,10/1/1951,14.869,3.4,4.650072965
16,1/1/1952,14.863,3.1,-0.161311971
17,4/1/1952,14.882,3,0.512318208
18,7/1/1952,15.048,3.2,4.536975158
19,10/1/1952,15.091,2.8,1.147917639
20,1/1/1953,15.096,2.7,0.132595202
21,4/1/1953,15.125,2.6,0.770632545
22,7/1/1953,15.188,2.7,1.67655442
23,10/1/1953,15.219,3.7,0.818937047
24,1/1/1954,15.266,5.3,1.241032127
25,4/1/1954,15.281,5.8,0.393609916
26,7/1/1954,15.3,6,0.498278007
27,10/1/1954,15.343,5.3,1.128931095
28,1/1/1955,15.417,4.7,1.943220533
29,4/1/1955,15.481,4.4,1.670873067
30,7/1/1955,15.59,4.1,2.846239866
31,10/1/1955,15.743,4.2,3.983760909
32,1/1/1956,15.902,4,4.101506562
33,4/1/1956,15.997,4.2,2.411135797
34,7/1/1956,16.197,4.1,5.095506975
35,10/1/1956,16.264,4.1,1.664922461
36,1/1/1957,16.485,3.9,5.547109287
37,4/1/1957,16.601,4.1,2.844528715
38,7/1/1957,16.701,4.2,2.431352184
39,10/1/1957,16.711,4.9,0.239721815
40,1/1/1958,16.892,6.3,4.403374048
41,4/1/1958,16.94,7.4,1.141486662
42,7/1/1958,17.043,7.3,2.4543853
43,10/1/1958,17.123,6.4,1.890865361
44,1/1/1959,17.169,5.8,1.078916006
45,4/1/1959,17.194,5.1,0.583718499
