t,Date,GDP growth,Unrate change
1,4/1/1948,6.7,0
2,7/1/1948,2.3,0.4006004
3,10/1/1948,0.4,0
4,1/1/1949,-5.4,3.648892256
5,4/1/1949,-1.3,4.887093274
6,7/1/1949,4.5,3.23860521
7,10/1/1949,-3.5,1.205410808
8,1/1/1950,16.9,-2.37848627
9,4/1/1950,12.7,-3.16180439
10,7/1/1950,16.3,-3.940399
11,10/1/1950,8,-1.590425574
12,1/1/1951,5.6,-2.77073696
13,4/1/1951,7.1,-1.590425574
14,7/1/1951,8.5,0.4006004
15,10/1/1951,0.9,0.802403202
16,1/1/1952,4.3,-1.194610792
17,4/1/1952,0.8,-0.3994004
18,7/1/1952,2.9,0.802403202
19,10/1/1952,13.8,-1.590425574
20,1/1/1953,7.7,-0.3994004
21,4/1/1953,3.2,-0.3994004
22,7/1/1953,-2.2,0.4006004
23,10/1/1953,-5.9,4.060401
24,1/1/1954,-1.8,6.555244954
25,4/1/1954,0.4,2.015050062
26,7/1/1954,4.6,0.802403202
27,10/1/1954,8,-2.77073696
28,1/1/1955,11.9,-2.37848627
29,4/1/1955,6.7,-1.194610792
30,7/1/1955,5.5,-1.194610792
31,10/1/1955,2.4,0.4006004
32,1/1/1956,-1.5,-0.797603198
33,4/1/1956,3.4,0.802403202
34,7/1/1956,-0.3,-0.3994004
35,10/1/1956,6.7,0
36,1/1/1957,2.6,-0.797603198
37,4/1/1957,-0.9,0.802403202
38,7/1/1957,4,0.4006004
39,10/1/1957,-4,2.82953744
40,1/1/1958,-10,5.718701442
41,4/1/1958,2.6,4.473133864
42,7/1/1958,9.6,-0.3994004
43,10/1/1958,9.7,-3.551690944
44,1/1/1959,7.7,-2.37848627
45,4/1/1959,10.1,-2.77073696
46,7/1/1959,-0.8,0.802403202
47,10/1/1959,1.6,1.205410808
48,1/1/1960,9.2,-1.985049937
49,4/1/1960,-1.5,0.4006004
50,7/1/1960,1,1.205410808
51,10/1/1960,-4.8,3.23860521
52,1/1/1961,2.7,2.015050062
53,4/1/1961,7.6,0.802403202
54,7/1/1961,6.8,-0.797603198
55,10/1/1961,8.3,-2.37848627
56,1/1/1962,7.4,-2.37848627
57,4/1/1962,4.4,-0.3994004
58,7/1/1962,3.9,0.4006004
59,10/1/1962,1.6,-0.3994004
60,1/1/1963,4.5,1.205410808
61,4/1/1963,5.3,-0.3994004
62,7/1/1963,8,-0.797603198
63,10/1/1963,2.9,0.4006004
64,1/1/1964,8.9,-0.3994004
65,4/1/1964,4.8,-1.194610792
66,7/1/1964,5.5,-0.797603198
67,10/1/1964,1.4,0
68,1/1/1965,10.2,-0.3994004
69,4/1/1965,5.6,-0.797603198
70,7/1/1965,8.4,-1.194610792
71,10/1/1965,9.8,-1.194610792
72,1/1/1966,10.2,-0.797603198
73,4/1/1966,1.6,-0.3994004
74,7/1/1966,2.9,0
75,10/1/1966,3.5,-0.3994004
76,1/1/1967,3.7,0.4006004
77,4/1/1967,0.3,0
78,7/1/1967,3.5,0
79,10/1/1967,3.2,0.4006004
80,1/1/1968,8.4,-0.797603198
81,4/1/1968,6.9,-0.3994004
82,7/1/1968,2.9,-0.3994004
83,10/1/1968,1.8,-0.3994004
84,1/1/1969,6.4,0
85,4/1/1969,1.3,0
86,7/1/1969,2.5,0.802403202
87,10/1/1969,-1.7,0
88,1/1/1970,-0.7,2.42168653
89,4/1/1970,0.7,2.42168653
90,7/1/1970,3.6,1.609625626
91,10/1/1970,-4,2.42168653
92,1/1/1971,11.1,0.4006004
93,4/1/1971,2.3,0
94,7/1/1971,3.2,0.4006004
95,10/1/1971,1.2,-0.3994004
96,1/1/1972,7.4,-0.3994004
97,4/1/1972,9.6,-0.3994004
98,7/1/1972,3.7,-0.3994004
99,10/1/1972,6.8,-0.797603198
100,1/1/1973,10.2,-1.985049937
101,4/1/1973,4.6,0
102,7/1/1973,-2.2,-0.3994004
103,10/1/1973,3.8,0
104,1/1/1974,-3.3,1.205410808
105,4/1/1974,1.1,0.4006004
106,7/1/1974,-3.8,1.609625626
107,10/1/1974,-1.6,4.060401
108,1/1/1975,-4.7,6.975373552
109,4/1/1975,3.1,2.42168653
110,7/1/1975,6.8,-1.590425574
111,10/1/1975,5.5,-0.797603198
112,1/1/1976,9.3,-2.37848627
113,4/1/1976,3.1,-0.3994004
114,7/1/1976,2.1,0.4006004
115,10/1/1976,3,0.4006004
116,1/1/1977,4.7,-1.194610792
117,4/1/1977,8.1,-1.590425574
118,7/1/1977,7.3,-0.797603198
119,10/1/1977,0,-0.797603198
120,1/1/1978,1.4,-1.590425574
121,4/1/1978,16.5,-1.194610792
122,7/1/1978,4,0
123,10/1/1978,5.5,-0.3994004
124,1/1/1979,0.8,0
125,4/1/1979,0.5,-0.797603198
126,7/1/1979,2.9,0.802403202
127,10/1/1979,1,0.4006004
128,1/1/1980,1.3,1.205410808
129,4/1/1980,-7.9,4.060401
130,7/1/1980,-0.6,1.609625626
131,10/1/1980,7.6,-1.194610792
132,1/1/1981,8.5,0
133,4/1/1981,-2.9,0
134,7/1/1981,4.7,0
135,10/1/1981,-4.6,3.23860521
136,1/1/1982,-6.5,2.42168653
137,4/1/1982,2.2,2.42168653
138,7/1/1982,-1.4,2.015050062
139,10/1/1982,0.4,3.23860521
140,1/1/1983,5.3,-1.194610792
141,4/1/1983,9.4,-1.194610792
142,7/1/1983,8.1,-2.77073696
143,10/1/1983,8.5,-3.551690944
144,1/1/1984,8.2,-2.37848627
145,4/1/1984,7.2,-1.985049937
146,7/1/1984,4,0
147,10/1/1984,3.2,-0.3994004
148,1/1/1985,4,-0.3994004
149,4/1/1985,3.7,0.4006004
150,7/1/1985,6.4,-0.3994004
151,10/1/1985,3,-0.797603198
152,1/1/1986,3.8,0
153,4/1/1986,1.9,0.802403202
154,7/1/1986,4.1,-0.797603198
155,10/1/1986,2.1,-0.797603198
156,1/1/1987,2.8,-0.797603198
157,4/1/1987,4.6,-1.194610792
158,7/1/1987,3.7,-1.194610792
159,10/1/1987,6.8,-0.797603198
160,1/1/1988,2.3,-0.3994004
161,4/1/1988,5.4,-0.797603198
162,7/1/1988,2.3,0
163,10/1/1988,5.4,-0.797603198
164,1/1/1989,4.1,-0.3994004
165,4/1/1989,3.2,0
166,7/1/1989,3,0
167,10/1/1989,0.9,0.802403202
168,1/1/1990,4.5,-0.3994004
169,4/1/1990,1.6,0
170,7/1/1990,0.1,1.609625626
171,10/1/1990,-3.4,1.609625626
172,1/1/1991,-1.9,2.015050062
173,4/1/1991,3.1,0.802403202
174,7/1/1991,1.9,0.4006004
175,10/1/1991,1.8,0.802403202
176,1/1/1992,4.8,1.205410808
177,4/1/1992,4.5,0.802403202
178,7/1/1992,3.9,0
179,10/1/1992,4.1,-0.797603198
180,1/1/1993,0.8,-1.194610792
181,4/1/1993,2.4,0
182,7/1/1993,2,-1.194610792
183,10/1/1993,5.4,-0.797603198
184,1/1/1994,4,0
185,4/1/1994,5.6,-1.590425574
186,7/1/1994,2.4,-0.797603198
187,10/1/1994,4.6,-1.590425574
188,1/1/1995,1.4,-0.3994004
189,4/1/1995,1.4,0.802403202
190,7/1/1995,3.5,0
191,10/1/1995,2.9,-0.3994004
192,1/1/1996,2.7,-0.3994004
193,4/1/1996,7.2,0
194,7/1/1996,3.7,-0.797603198
195,10/1/1996,4.3,0
196,1/1/1997,3.1,-0.3994004
197,4/1/1997,6.2,-0.797603198
198,7/1/1997,5.2,-0.3994004
199,10/1/1997,3.1,-0.797603198
200,1/1/1998,4,-0.3994004
201,4/1/1998,3.9,-0.797603198
202,7/1/1998,5.3,0.4006004
203,10/1/1998,6.7,-0.3994004
204,1/1/1999,3.2,-0.3994004
205,4/1/1999,3.3,0
206,7/1/1999,5.1,-0.3994004
207,10/1/1999,7.1,-0.3994004
208,1/1/2000,1.2,-0.3994004
209,4/1/2000,7.8,-0.3994004
210,7/1/2000,0.5,0.4006004
211,10/1/2000,2.3,-0.3994004
212,1/1/2001,-1.1,1.205410808
213,4/1/2001,2.1,0.802403202
214,7/1/2001,-1.3,1.609625626
215,10/1/2001,1.1,2.82953744
216,1/1/2002,3.7,0.802403202
217,4/1/2002,2.2,0.4006004
218,7/1/2002,2,-0.3994004
219,10/1/2002,0.3,0.802403202
220,1/1/2003,2.1,0
221,4/1/2003,3.8,0.802403202
222,7/1/2003,6.9,0
223,10/1/2003,4.8,-1.194610792
224,1/1/2004,2.3,-0.3994004
225,4/1/2004,3,-0.3994004
226,7/1/2004,3.7,-0.797603198
227,10/1/2004,3.5,0
228,1/1/2005,4.3,-0.3994004
229,4/1/2005,2.1,-0.797603198
230,7/1/2005,3.4,-0.3994004
231,10/1/2005,2.3,0
232,1/1/2006,4.9,-1.194610792
233,4/1/2006,1.2,-0.3994004
234,7/1/2006,0.4,0
235,10/1/2006,3.2,-0.797603198
236,1/1/2007,0.2,0.4006004
237,4/1/2007,3.1,0
238,7/1/2007,2.7,0.802403202
239,10/1/2007,1.4,0.4006004
