date,GDPrate
1984-01-01,8.2
1984-04-01,7.2
1984-07-01,4.0
1984-10-01,3.2
1985-01-01,4.0
1985-04-01,3.7
1985-07-01,6.4
1985-10-01,3.0
1986-01-01,3.8
1986-04-01,1.9
1986-07-01,4.1
1986-10-01,2.1
1987-01-01,2.8
1987-04-01,4.6
1987-07-01,3.7
1987-10-01,6.8
1988-01-01,2.3
1988-04-01,5.4
1988-07-01,2.3
1988-10-01,5.4
1989-01-01,4.1
1989-04-01,3.2
1989-07-01,3.0
1989-10-01,0.9
1990-01-01,4.5
1990-04-01,1.6
1990-07-01,0.1
1990-10-01,-3.4
1991-01-01,-1.9
1991-04-01,3.1
1991-07-01,1.9
1991-10-01,1.8
1992-01-01,4.8
1992-04-01,4.5
1992-07-01,3.9
1992-10-01,4.1
1993-01-01,0.8
1993-04-01,2.4
1993-07-01,2.0
1993-10-01,5.4
1994-01-01,4.0
1994-04-01,5.6
1994-07-01,2.4
1994-10-01,4.6
1995-01-01,1.4
1995-04-01,1.4
1995-07-01,3.5
1995-10-01,2.9
1996-01-01,2.7
1996-04-01,7.2
1996-07-01,3.7
1996-10-01,4.3
1997-01-01,3.1
1997-04-01,6.2
1997-07-01,5.2
1997-10-01,3.1
1998-01-01,4.0
1998-04-01,3.9
1998-07-01,5.3
1998-10-01,6.7
1999-01-01,3.2
1999-04-01,3.3
1999-07-01,5.1
1999-10-01,7.1
2000-01-01,1.2
2000-04-01,7.8
2000-07-01,0.5
2000-10-01,2.3
2001-01-01,-1.1
2001-04-01,2.1
2001-07-01,-1.3
2001-10-01,1.1
2002-01-01,3.7
2002-04-01,2.2
2002-07-01,2.0
2002-10-01,0.3
2003-01-01,2.1
2003-04-01,3.8
2003-07-01,6.9
2003-10-01,4.8
2004-01-01,2.3
2004-04-01,3.0
2004-07-01,3.7
2004-10-01,3.5
2005-01-01,4.3
2005-04-01,2.1
2005-07-01,3.4
2005-10-01,2.3
2006-01-01,4.9
2006-04-01,1.2
2006-07-01,0.4
2006-10-01,3.2
2007-01-01,0.2
2007-04-01,3.1
2007-07-01,2.7
2007-10-01,1.4
2008-01-01,-2.7
2008-04-01,2.0
2008-07-01,-1.9
2008-10-01,-8.2
2009-01-01,-5.4
2009-04-01,-0.5
2009-07-01,1.3
2009-10-01,3.9
