DATE,GDPPOT
1958-01-01,2890.0
1958-04-01,2914.0
1958-07-01,2937.0
1958-10-01,2961.0
1959-01-01,2985.0
1959-04-01,3010.0
1959-07-01,3035.0
1959-10-01,3061.0
1960-01-01,3089.0
1960-04-01,3118.0
1960-07-01,3149.0
1960-10-01,3181.0
1961-01-01,3214.0
1961-04-01,3248.0
1961-07-01,3282.0
1961-10-01,3317.0
1962-01-01,3351.0
1962-04-01,3387.0
1962-07-01,3423.0
1962-10-01,3460.0
1963-01-01,3497.0
1963-04-01,3534.0
1963-07-01,3572.0
1963-10-01,3610.0
1964-01-01,3648.0
1964-04-01,3686.0
1964-07-01,3725.0
1964-10-01,3764.0
1965-01-01,3804.0
1965-04-01,3844.0
1965-07-01,3885.0
1965-10-01,3927.0
1966-01-01,3970.0
1966-04-01,4014.0
1966-07-01,4059.0
1966-10-01,4105.0
1967-01-01,4152.0
1967-04-01,4198.0
1967-07-01,4245.0
1967-10-01,4291.0
1968-01-01,4337.0
1968-04-01,4382.0
1968-07-01,4428.0
1968-10-01,4473.0
1969-01-01,4518.0
1969-04-01,4563.0
1969-07-01,4607.0
1969-10-01,4650.0
1970-01-01,4692.0
1970-04-01,4733.0
1970-07-01,4772.0
1970-10-01,4811.0
1971-01-01,4850.0
1971-04-01,4888.0
1971-07-01,4925.0
1971-10-01,4963.0
1972-01-01,5002.0
1972-04-01,5041.0
1972-07-01,5081.0
1972-10-01,5122.0
1973-01-01,5165.0
1973-04-01,5209.0
1973-07-01,5255.0
1973-10-01,5302.0
1974-01-01,5351.0
1974-04-01,5400.0
1974-07-01,5451.0
1974-10-01,5501.0
1975-01-01,5551.0
1975-04-01,5599.0
1975-07-01,5647.0
1975-10-01,5694.0
1976-01-01,5740.0
1976-04-01,5786.0
1976-07-01,5832.0
1976-10-01,5880.0
1977-01-01,5929.0
1977-04-01,5979.0
1977-07-01,6031.0
1977-10-01,6084.0
1978-01-01,6138.0
1978-04-01,6196.0
1978-07-01,6254.0
1978-10-01,6312.0
1979-01-01,6368.0
1979-04-01,6422.0
1979-07-01,6473.0
1979-10-01,6520.0
1980-01-01,6562.0
1980-04-01,6597.0
1980-07-01,6630.0
1980-10-01,6662.0
1981-01-01,6696.0
1981-04-01,6734.0
1981-07-01,6774.0
1981-10-01,6818.0
1982-01-01,6867.0
1982-04-01,6918.0
1982-07-01,6970.0
1982-10-01,7024.0
1983-01-01,7075.0
1983-04-01,7126.0
1983-07-01,7178.0
1983-10-01,7231.0
1984-01-01,7287.0
1984-04-01,7345.0
1984-07-01,7405.0
1984-10-01,7467.0
1985-01-01,7530.0
1985-04-01,7594.0
1985-07-01,7659.0
1985-10-01,7724.0
1986-01-01,7789.0
1986-04-01,7853.0
1986-07-01,7918.0
1986-10-01,7982.0
1987-01-01,8046.0
1987-04-01,8111.0
1987-07-01,8175.0
1987-10-01,8240.0
1988-01-01,8305.0
1988-04-01,8370.0
1988-07-01,8436.0
1988-10-01,8501.0
1989-01-01,8568.0
1989-04-01,8634.0
1989-07-01,8701.0
1989-10-01,8768.0
1990-01-01,8835.0
1990-04-01,8903.0
1990-07-01,8970.0
1990-10-01,9037.0
1991-01-01,9104.0
1991-04-01,9170.0
1991-07-01,9236.0
1991-10-01,9302.0
1992-01-01,9368.0
1992-04-01,9436.0
1992-07-01,9504.0
1992-10-01,9575.0
1993-01-01,9647.0
1993-04-01,9722.0
1993-07-01,9799.0
1993-10-01,9877.0
1994-01-01,9957.0
1994-04-01,10040.0
1994-07-01,10124.0
1994-10-01,10208.0
1995-01-01,10293.0
1995-04-01,10376.0
1995-07-01,10459.0
1995-10-01,10542.0
1996-01-01,10624.0
1996-04-01,10707.0
1996-07-01,10790.0
1996-10-01,10875.0
1997-01-01,10963.0
1997-04-01,11053.0
1997-07-01,11145.0
1997-10-01,11240.0
1998-01-01,11337.0
1998-04-01,11437.0
1998-07-01,11539.0
1998-10-01,11641.0
1999-01-01,11744.0
1999-04-01,11843.0
1999-07-01,11944.0
1999-10-01,12045.0
2000-01-01,12146.0
2000-04-01,12253.0
2000-07-01,12362.0
2000-10-01,12474.0
2001-01-01,12590.0
2001-04-01,12706.0
2001-07-01,12822.0
2001-10-01,12936.0
2002-01-01,13045.0
2002-04-01,13151.0
2002-07-01,13255.0
2002-10-01,13356.0
2003-01-01,13454.0
2003-04-01,13549.0
2003-07-01,13641.0
2003-10-01,13730.0
2004-01-01,13817.0
2004-04-01,13901.0
2004-07-01,13984.0
2004-10-01,14066.0
2005-01-01,14150.0
2005-04-01,14234.0
2005-07-01,14319.0
2005-10-01,14405.0
2006-01-01,14492.0
2006-04-01,14581.0
2006-07-01,14669.0
2006-10-01,14757.0
2007-01-01,14841.0
2007-04-01,14922.0
2007-07-01,15001.0
2007-10-01,15076.0
2008-01-01,15146.0
2008-04-01,15215.0
2008-07-01,15280.0
2008-10-01,15341.0
2009-01-01,15399.0
2009-04-01,15449.0
2009-07-01,15496.0
2009-10-01,15540.0
