DATE,UNRATE
1958-01-01,6.3
1958-04-01,7.4
1958-07-01,7.3
1958-10-01,6.4
1959-01-01,5.8
1959-04-01,5.1
1959-07-01,5.3
1959-10-01,5.6
1960-01-01,5.1
1960-04-01,5.2
1960-07-01,5.5
1960-10-01,6.3
1961-01-01,6.8
1961-04-01,7.0
1961-07-01,6.8
1961-10-01,6.2
1962-01-01,5.6
1962-04-01,5.5
1962-07-01,5.6
1962-10-01,5.5
1963-01-01,5.8
1963-04-01,5.7
1963-07-01,5.5
1963-10-01,5.6
1964-01-01,5.5
1964-04-01,5.2
1964-07-01,5.0
1964-10-01,5.0
1965-01-01,4.9
1965-04-01,4.7
1965-07-01,4.4
1965-10-01,4.1
1966-01-01,3.9
1966-04-01,3.8
1966-07-01,3.8
1966-10-01,3.7
1967-01-01,3.8
1967-04-01,3.8
1967-07-01,3.8
1967-10-01,3.9
1968-01-01,3.7
1968-04-01,3.6
1968-07-01,3.5
1968-10-01,3.4
1969-01-01,3.4
1969-04-01,3.4
1969-07-01,3.6
1969-10-01,3.6
1970-01-01,4.2
1970-04-01,4.8
1970-07-01,5.2
1970-10-01,5.8
1971-01-01,5.9
1971-04-01,5.9
1971-07-01,6.0
1971-10-01,5.9
1972-01-01,5.8
1972-04-01,5.7
1972-07-01,5.6
1972-10-01,5.4
1973-01-01,4.9
1973-04-01,4.9
1973-07-01,4.8
1973-10-01,4.8
1974-01-01,5.1
1974-04-01,5.2
1974-07-01,5.6
1974-10-01,6.6
1975-01-01,8.3
1975-04-01,8.9
1975-07-01,8.5
1975-10-01,8.3
1976-01-01,7.7
1976-04-01,7.6
1976-07-01,7.7
1976-10-01,7.8
1977-01-01,7.5
1977-04-01,7.1
1977-07-01,6.9
1977-10-01,6.7
1978-01-01,6.3
1978-04-01,6.0
1978-07-01,6.0
1978-10-01,5.9
1979-01-01,5.9
1979-04-01,5.7
1979-07-01,5.9
1979-10-01,6.0
1980-01-01,6.3
1980-04-01,7.3
1980-07-01,7.7
1980-10-01,7.4
1981-01-01,7.4
1981-04-01,7.4
1981-07-01,7.4
1981-10-01,8.2
1982-01-01,8.8
1982-04-01,9.4
1982-07-01,9.9
1982-10-01,10.7
1983-01-01,10.4
1983-04-01,10.1
1983-07-01,9.4
1983-10-01,8.5
1984-01-01,7.9
1984-04-01,7.4
1984-07-01,7.4
1984-10-01,7.3
1985-01-01,7.2
1985-04-01,7.3
1985-07-01,7.2
1985-10-01,7.0
1986-01-01,7.0
1986-04-01,7.2
1986-07-01,7.0
1986-10-01,6.8
1987-01-01,6.6
1987-04-01,6.3
1987-07-01,6.0
1987-10-01,5.8
1988-01-01,5.7
1988-04-01,5.5
1988-07-01,5.5
1988-10-01,5.3
1989-01-01,5.2
1989-04-01,5.2
1989-07-01,5.2
1989-10-01,5.4
1990-01-01,5.3
1990-04-01,5.3
1990-07-01,5.7
1990-10-01,6.1
1991-01-01,6.6
1991-04-01,6.8
1991-07-01,6.9
1991-10-01,7.1
1992-01-01,7.4
1992-04-01,7.6
1992-07-01,7.6
1992-10-01,7.4
1993-01-01,7.1
1993-04-01,7.1
1993-07-01,6.8
1993-10-01,6.6
1994-01-01,6.6
1994-04-01,6.2
1994-07-01,6.0
1994-10-01,5.6
1995-01-01,5.5
1995-04-01,5.7
1995-07-01,5.7
1995-10-01,5.6
1996-01-01,5.5
1996-04-01,5.5
1996-07-01,5.3
1996-10-01,5.3
1997-01-01,5.2
1997-04-01,5.0
1997-07-01,4.9
1997-10-01,4.7
1998-01-01,4.6
1998-04-01,4.4
1998-07-01,4.5
1998-10-01,4.4
1999-01-01,4.3
1999-04-01,4.3
1999-07-01,4.2
1999-10-01,4.1
2000-01-01,4.0
2000-04-01,3.9
2000-07-01,4.0
2000-10-01,3.9
2001-01-01,4.2
2001-04-01,4.4
2001-07-01,4.8
2001-10-01,5.5
2002-01-01,5.7
2002-04-01,5.8
2002-07-01,5.7
2002-10-01,5.9
2003-01-01,5.9
2003-04-01,6.1
2003-07-01,6.1
2003-10-01,5.8
2004-01-01,5.7
2004-04-01,5.6
2004-07-01,5.4
2004-10-01,5.4
2005-01-01,5.3
2005-04-01,5.1
2005-07-01,5.0
2005-10-01,5.0
2006-01-01,4.7
2006-04-01,4.6
2006-07-01,4.6
2006-10-01,4.4
2007-01-01,4.5
2007-04-01,4.5
2007-07-01,4.7
2007-10-01,4.8
2008-01-01,5.0
2008-04-01,5.3
2008-07-01,6.0
2008-10-01,6.9
2009-01-01,8.3
2009-04-01,9.3
2009-07-01,9.6
2009-10-01,9.9
